Date;Discipline;Venue;Race (R) or Training (TR);Gate;Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender;Run;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Nation;Best;Is Fastest?;ID;total time (sec);Time (ms)
2024-01-07;SL;Adelboden;R;29.0;10.13;15.5;1.03;-9.64;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.46
2024-01-07;SL;Adelboden;R;30.0;6.18;0.44;0.02;-3.7;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.76
2024-01-07;SL;Adelboden;R;30.0;6.18;0.44;0.02;-3.7;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.72
2024-01-07;SL;Adelboden;R;31.0;6.24;10.86;0.69;-5.4;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.72
2024-01-07;SL;Adelboden;R;31.0;6.24;10.86;0.69;-5.4;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.78
2024-01-07;SL;Adelboden;R;32.0;8.85;14.38;1.15;-10.19;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.72
2024-01-07;SL;Adelboden;R;32.0;8.85;14.38;1.15;-10.19;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.7
2024-01-07;SL;Adelboden;R;33.0;10.0;27.56;2.37;-14.68;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.74
2024-01-07;SL;Adelboden;R;33.0;10.0;27.56;2.37;-14.68;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.74
2024-01-07;SL;Adelboden;R;34.0;10.39;14.47;1.28;-7.4;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.82
2024-01-07;SL;Adelboden;R;34.0;10.39;14.47;1.28;-7.4;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.8
2024-01-07;SL;Adelboden;R;35.0;10.07;28.63;2.46;-7.13;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.92
2024-01-07;SL;Adelboden;R;35.0;10.07;28.63;2.46;-7.13;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.86
2024-01-07;SL;Adelboden;R;36.0;10.08;37.11;3.17;-9.74;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.8
2024-01-07;SL;Adelboden;R;36.0;10.08;37.11;3.17;-9.74;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;SUI;ZENHAEUSERN Ramon;no;07,01,2024Adelboden1SUI;57.44;0.84
2024-01-07;SL;Adelboden;R;37.0;10.21;30.97;2.6;-12.11;;;;;;M;1.0;Switzerland;Chuenisbaergli;FUESS Robert;69.0;67.0;1513.0;1302.0;211.0;10:30;MOSTLY CLOUDY;COMPACT;-5.0;-3.0;NOR;STEEN OLSEN Alexander;yes;07,01,2024Adelboden1NOR;56.79;0.42
