Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-03-17;Saalbach;2;45;1.2;GINNIS AJ;0.933;AERNI Luca;0.2669999999999999;22.249999999999993
2024-03-17;Saalbach;1;46;0.433;HAUGAN Timon;0.433;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;46;0.966;GINNIS AJ;1.0;AERNI Luca;-0.03400000000000003;-3.5196687370600444
2024-03-17;Saalbach;1;47;0.4;HAUGAN Timon;0.4;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;47;1.1;GINNIS AJ;0.933;AERNI Luca;0.16700000000000004;15.181818181818185
2024-03-17;Saalbach;1;48;0.666;HAUGAN Timon;0.733;MEILLARD Loic;-0.06699999999999995;-10.060060060060051
2024-03-17;Saalbach;2;48;1.0;GINNIS AJ;1.233;AERNI Luca;-0.2330000000000001;-23.30000000000001
2024-03-17;Saalbach;1;49;0.833;HAUGAN Timon;0.733;MEILLARD Loic;0.09999999999999998;12.004801920768307
2024-03-17;Saalbach;2;49;1.633;GINNIS AJ;1.7;AERNI Luca;-0.06699999999999995;-4.102878138395587
2024-03-17;Saalbach;1;50;0.8;HAUGAN Timon;0.866;MEILLARD Loic;-0.06599999999999995;-8.249999999999993
2024-03-17;Saalbach;2;50;1.0;GINNIS AJ;0.9;AERNI Luca;0.09999999999999998;9.999999999999998
2024-03-17;Saalbach;1;51;0.8;HAUGAN Timon;0.866;MEILLARD Loic;-0.06599999999999995;-8.249999999999993
2024-03-17;Saalbach;2;51;0.966;GINNIS AJ;0.966;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;52;0.833;HAUGAN Timon;1.1;MEILLARD Loic;-0.2670000000000001;-32.0528211284514
2024-03-17;Saalbach;2;52;0.833;GINNIS AJ;0.866;AERNI Luca;-0.03300000000000003;-3.9615846338535454
2024-03-17;Saalbach;1;53;0.466;HAUGAN Timon;0.533;MEILLARD Loic;-0.067;-14.377682403433475
2024-03-17;Saalbach;2;53;0.833;GINNIS AJ;0.8;AERNI Luca;0.03299999999999992;3.961584633853532
2024-03-17;Saalbach;1;54;0.9;HAUGAN Timon;0.866;MEILLARD Loic;0.03400000000000003;3.7777777777777812
2024-03-17;Saalbach;2;54;0.733;GINNIS AJ;0.7;AERNI Luca;0.03300000000000003;4.502046384720332
2024-03-17;Saalbach;1;55;1.266;HAUGAN Timon;1.166;MEILLARD Loic;0.10000000000000009;7.898894154818333
2024-03-17;Saalbach;2;55;0.7;GINNIS AJ;0.7;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;56;0.833;HAUGAN Timon;0.933;MEILLARD Loic;-0.10000000000000009;-12.004801920768319
2024-03-17;Saalbach;2;56;0.8;GINNIS AJ;0.833;AERNI Luca;-0.03299999999999992;-4.124999999999989
